player,pass_att,pass_cmp,pass_yds,pass_td,pass_int,rush_att,rush_yds,rush_td,fumble_lost,fpts,team,position,rec_att,rec_yds,rec_td
Darius Slayton,,,,,,0.0,0.0,0.0,1.0,50.1,NYG,WR,27.3,379.9,1.9
John Metchie III,,,,,,0.0,0.0,0.0,0.4,36.4,HOU,WR,23.3,278.4,1.4
Allen Robinson II,,,,,,0.0,0.0,0.0,0.3,40.5,PIT,WR,26.3,296.5,0.6
Parris Campbell,,,,,,0.0,0.0,0.0,0.6,38.4,NYG,WR,27.4,292.3,1.5
Russell Gage,,,,,,0.7,1.2,0.0,0.5,49.3,TB,WR,60.5,337.3,0.1
Joshua Palmer,,,,,,0.0,0.0,0.0,0.3,44.9,LAC,WR,29.4,319.6,1.3
Kendrick Bourne,,,,,,3.0,25.4,0.0,0.5,56.2,NE,WR,23.4,375.9,0.8
Tyquan Thornton,,,,,,0.0,0.0,0.0,0.4,39.4,NE,WR,25.9,296.3,1.4
Wan'Dale Robinson,,,,,,0.0,0.0,0.0,1.0,44.6,NYG,WR,17.5,201.2,1.0
Josh Reynolds,,,,,,0.0,0.0,0.0,0.3,43.3,DET,WR,22.5,284.0,0.6
Nick Westbrook-Ikhine,,,,,,0.0,0.0,0.0,0.5,40.4,TEN,WR,23.6,310.0,1.1
Jalin Hyatt,,,,,,0.0,0.0,0.0,1.0,17.1,NYG,WR,11.3,125.7,0.8
Terrace Marshall Jr.,,,,,,0.0,0.0,0.0,0.3,38.2,CAR,WR,11.2,184.9,0.3
Michael Wilson,,,,,,0.0,0.0,0.0,0.3,43.9,ARI,WR,16.5,188.4,0.3
Sterling Shepard,,,,,,0.0,0.0,0.0,0.3,30.7,NYG,WR,21.9,229.0,0.4
Tank Dell,,,,,,0.0,0.0,0.0,2.0,23.9,HOU,WR,6.8,110.9,0.6
Greg Dortch,,,,,,4.1,25.9,0.0,1.0,24.7,ARI,WR,15.8,151.1,0.7
Josh Downs,,,,,,0.0,0.0,0.0,0.4,43.3,IND,WR,15.4,195.6,1.2
Ben Skowronek,,,,,,0.0,0.0,0.0,0.2,26.1,LAR,WR,18.9,225.5,0.0
Tutu Atwell,,,,,,2.1,13.2,0.1,0.4,29.7,LAR,WR,13.0,170.1,0.1
Khalil Shakir,,,,,,0.0,0.0,0.0,0.4,26.8,BUF,WR,14.4,179.8,0.6
Laviska Shenault Jr.,,,,,,9.8,52.1,0.3,0.3,37.4,CAR,WR,20.6,217.3,0.1
Richie James Jr.,,,,,,0.0,0.0,0.0,3.0,14.7,KC,WR,8.7,108.6,0.7
Puka Nacua,,,,,,0.0,0.0,0.0,0.3,33.8,LAR,WR,22.8,265.0,0.6
Braxton Berrios,,,,,,0.0,0.0,0.0,0.6,9.2,MIA,WR,6.8,64.9,0.1
Randall Cobb,,,,,,0.0,0.0,0.0,0.4,30.6,NYJ,WR,26.7,207.9,0.1
Isaiah McKenzie,,,,,,5.6,31.0,0.1,0.2,27.4,IND,WR,15.4,148.4,0.7
Trey Palmer,,,,,,0.0,0.0,0.0,0.1,32.1,TB,WR,20.7,213.7,0.0
Quez Watkins,,,,,,0.0,0.0,0.0,0.4,18.8,PHI,WR,12.8,151.4,0.7
Cedric Tillman,,,,,,0.0,0.0,0.0,0.3,19.4,CLE,WR,12.3,149.9,0.6
Kalif Raymond,,,,,,0.0,0.0,0.0,0.3,21.0,DET,WR,12.0,161.8,0.0
Dyami Brown,,,,,,0.0,0.0,0.0,0.1,16.2,WAS,WR,2.6,92.6,0.0
Noah Brown,,,,,,0.0,0.0,0.0,0.3,33.1,HOU,WR,12.3,161.7,0.1
Xavier Hutchinson,,,,,,1.2,7.4,0.1,0.2,45.0,HOU,WR,0.0,297.8,0.1
Marquez Callaway,,,,,,0.0,0.0,0.0,0.1,18.4,DEN,WR,10.5,133.7,0.4
Trent Sherfield,,,,,,0.0,0.0,0.0,0.2,29.6,BUF,WR,17.7,207.8,0.0
Jauan Jennings,,,,,,0.0,0.0,0.0,0.3,19.3,SF,WR,12.5,140.0,0.1
Chris Moore,,,,,,0.0,0.0,0.0,0.0,11.4,TEN,WR,7.1,86.5,0.0
Olamide Zaccheaus,,,,,,0.0,0.0,0.0,1.0,4.7,PHI,WR,3.2,37.4,0.0
Jamal Agnew,,,,,,4.1,25.3,0.2,0.3,11.4,JAC,WR,5.6,57.6,0.0
Demarcus Robinson,,,,,,0.0,0.0,0.0,0.2,22.0,LAR,WR,15.3,163.9,0.2
Marquise Goodwin,,,,,,0.0,0.0,0.0,0.1,5.2,CLE,WR,2.7,39.6,0.0
Charlie Jones,,,,,,0.0,0.0,0.0,2.0,6.0,CIN,WR,3.9,44.7,0.0
